Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2013,141,3390,73,3276,40,H,0,28,52,12,25,5,6,10,25,14,11,2,4,13,14,48,3,16,9,9,9,13,10,12,5,1,3
2013,146,3397,74,3328,59,N,0,29,67,4,15,12,18,14,33,14,13,11,4,18,23,75,5,29,8,12,22,28,4,17,6,2,14
2013,146,3323,93,3242,63,N,0,37,69,6,13,13,17,17,26,25,10,8,8,11,26,67,2,10,9,10,15,17,16,12,5,3,11
2013,139,3345,77,3251,43,N,0,26,52,8,16,17,27,7,33,17,17,12,7,17,15,57,2,11,11,17,13,25,7,18,12,5,21
2013,139,3234,69,3274,53,H,0,23,58,5,11,18,25,14,23,13,16,10,2,20,18,60,3,19,14,26,24,28,8,24,9,2,21
2013,140,3208,65,3235,60,N,0,23,63,12,30,7,10,9,26,17,5,6,2,12,21,59,9,31,9,12,12,32,16,12,3,2,13
2013,139,3181,67,3214,51,H,0,28,62,5,14,6,8,18,26,21,18,10,4,10,20,63,4,18,7,11,19,17,8,17,6,2,11
2013,139,3329,73,3177,56,N,0,29,63,3,12,12,18,15,34,13,16,14,7,12,20,80,8,37,8,10,27,21,13,16,11,1,14
2013,138,3235,72,3211,60,N,0,23,44,9,25,17,18,7,36,15,23,1,3,12,23,71,7,26,7,11,15,15,12,9,14,2,19
2014,141,3268,69,3400,64,N,0,25,58,2,7,17,22,15,27,17,16,5,1,18,21,58,8,21,14,17,12,21,12,14,7,4,22
2014,139,3257,88,3225,42,N,0,39,68,6,14,4,7,12,30,18,9,11,1,13,17,48,4,18,4,10,5,18,8,18,4,4,10
2014,141,3336,83,3196,61,N,0,27,58,6,17,23,27,14,24,14,16,11,3,13,23,50,6,21,9,15,6,19,11,20,8,2,19
2014,141,3401,85,3241,69,N,0,29,58,3,8,24,37,11,31,23,11,4,2,19,24,65,2,16,19,21,10,26,12,10,6,6,27
2014,140,3246,64,3393,59,N,0,21,58,4,12,18,28,16,22,12,15,15,6,19,21,63,5,25,12,16,18,23,6,23,4,4,24
2014,140,3323,84,3113,67,N,0,28,57,3,6,25,32,17,22,19,22,9,4,22,21,56,3,14,22,26,13,18,5,22,9,1,27
2014,146,3257,73,3261,47,N,0,25,63,12,30,11,16,10,36,21,10,4,4,19,16,67,1,9,14,19,19,29,2,12,7,2,17
2014,139,3336,62,3455,56,H,0,26,59,3,11,7,15,17,29,11,15,4,3,16,18,54,7,23,13,14,7,22,10,8,3,2,20
2014,138,3323,93,3352,42,N,0,38,64,10,18,7,10,15,30,23,13,8,4,18,14,52,7,21,7,11,10,12,9,17,6,1,11
2014,146,3268,73,3397,62,N,0,27,70,5,18,14,19,19,23,9,16,13,0,25,19,53,4,11,20,27,14,26,7,22,7,5,18
2014,138,3385,71,3425,68,N,0,21,54,2,8,27,33,13,28,10,19,5,4,28,20,60,4,12,24,31,15,24,11,13,9,2,26
2014,138,3393,59,3151,53,N,0,17,54,1,15,24,31,19,33,5,9,3,1,15,21,61,7,27,4,14,15,21,14,9,2,3,21
2014,140,3140,80,3304,76,N,0,28,55,10,23,14,20,8,32,17,15,3,6,19,25,66,6,21,20,23,9,22,14,6,7,2,18
2014,141,3314,62,3277,53,N,0,23,63,2,10,14,16,11,30,9,19,13,5,19,17,54,4,16,15,22,12,28,11,24,8,6,13
2014,138,3390,81,3377,62,N,0,34,71,10,29,3,6,16,25,25,8,4,4,15,24,55,6,18,8,11,7,23,14,13,5,2,17
2014,146,3390,82,3336,57,N,0,30,64,5,19,17,21,13,28,14,9,8,1,14,21,58,4,12,11,16,10,23,6,15,7,4,18
2014,141,3376,78,3333,69,N,0,20,54,4,6,34,43,16,29,10,9,6,2,18,25,65,10,30,9,18,17,23,15,14,5,7,31
2014,138,3181,87,3457,45,H,0,34,63,6,15,13,17,16,33,21,13,13,7,11,15,55,9,23,6,7,7,16,11,17,6,1,16
2014,138,3143,64,3200,63,N,0,25,62,1,8,13,16,16,19,16,9,7,7,12,25,49,7,13,6,8,5,22,17,16,2,1,17
2015,138,3328,111,3346,84,N,0,40,72,13,29,18,24,15,33,27,13,5,2,25,23,66,12,29,26,33,13,19,11,11,7,1,21
2015,144,3124,81,3234,66,N,0,31,66,3,10,16,18,14,31,22,8,3,5,9,28,69,7,23,3,7,12,23,15,9,4,6,17
2015,139,3211,76,3333,64,N,0,29,58,2,9,16,21,15,22,10,13,11,2,14,21,51,9,27,13,20,11,19,13,18,8,4,19
2015,137,3333,74,3355,62,N,0,24,54,7,19,19,26,8,30,16,12,9,9,15,26,60,4,18,6,11,8,23,11,12,6,3,22
2015,146,3376,80,3199,74,N,0,30,49,2,5,18,27,7,21,14,12,6,5,18,25,59,8,16,16,21,16,17,13,12,4,1,26
2015,147,3163,91,3173,70,N,0,34,69,9,20,14,19,18,23,13,10,7,5,10,28,62,10,19,4,5,10,21,12,16,4,5,16
2015,137,3280,57,3408,47,N,0,20,56,2,11,15,21,16,27,11,16,8,8,22,13,47,5,18,16,25,13,21,10,20,10,4,20
2015,140,3257,60,3378,52,N,0,22,66,4,11,12,14,20,25,13,11,8,7,17,17,48,7,17,11,13,7,25,9,16,5,8,15
2015,137,3393,72,3304,69,N,0,28,69,6,21,10,21,17,25,14,8,10,4,18,25,58,7,21,12,18,13,28,15,19,3,7,20
2015,138,3353,79,3371,66,N,0,26,55,7,13,20,29,12,33,15,20,6,4,23,23,64,8,23,12,23,14,19,15,15,8,3,24
2015,138,3326,90,3241,80,N,0,30,62,4,16,26,34,6,35,16,13,9,7,17,30,79,11,29,9,10,13,31,19,15,6,4,23
2015,137,3274,86,3449,80,N,0,27,61,7,12,25,40,12,34,9,4,4,3,19,28,69,10,29,14,19,10,30,17,6,2,1,23
2015,138,3268,75,3308,57,N,0,26,53,5,17,18,21,13,32,16,20,7,3,7,22,58,5,21,8,9,4,16,9,11,13,4,18
2015,137,3124,77,3322,36,N,0,30,61,2,7,15,20,14,39,23,5,5,8,5,14,59,6,33,2,2,6,20,12,8,2,1,11
2015,140,3113,57,3114,54,N,0,21,56,2,10,13,15,18,23,16,17,4,2,9,25,60,1,9,3,4,13,19,12,15,11,2,18
2015,137,3400,66,3443,64,N,0,28,59,1,13,9,13,16,33,15,19,2,3,15,21,64,12,33,10,15,9,19,13,9,6,3,13
2015,138,3114,69,3401,60,N,0,25,55,6,13,13,20,12,24,20,9,6,2,14,22,58,2,8,14,17,14,22,13,12,4,6,20
2015,137,3116,57,3321,55,N,0,21,66,4,17,11,19,20,22,18,10,10,4,11,22,49,4,11,7,8,6,31,18,19,6,4,17
2015,138,3314,71,3251,65,N,0,28,57,4,9,11,20,9,26,18,15,10,7,20,24,69,3,18,14,23,24,28,8,16,7,0,20
2016,140,3163,97,3182,51,H,0,37,72,10,22,13,18,19,32,18,9,7,7,9,19,65,9,30,4,6,13,18,8,14,4,1,14
2016,144,3393,80,3376,72,N,0,29,76,8,23,14,21,24,23,7,10,5,3,15,28,63,8,32,8,14,15,27,21,18,8,5,23
2016,145,3333,83,3177,71,N,0,33,65,10,25,7,10,17,25,22,10,7,4,15,27,66,11,27,6,9,14,17,18,8,9,1,13
2016,140,3390,66,3355,65,H,0,25,56,6,18,10,22,11,27,18,11,5,7,13,26,63,6,16,7,13,12,22,11,7,6,3,19
2016,137,3120,68,3385,57,N,0,27,58,3,12,11,22,15,19,17,17,13,4,17,22,46,5,10,8,13,7,21,11,25,4,0,19
2016,146,3449,85,3390,76,N,0,29,59,8,19,19,22,5,32,12,9,5,8,16,25,73,14,33,12,13,17,22,16,10,3,1,20
2016,145,3124,78,3199,58,N,0,28,58,5,9,17,24,12,26,17,17,10,7,18,21,60,6,14,10,18,16,22,12,21,10,5,24
2016,138,3246,85,3421,31,H,0,33,66,8,16,11,14,15,35,17,10,8,7,11,13,63,3,25,2,5,14,17,4,15,4,3,17
2016,137,3124,89,3225,59,H,0,37,74,9,22,6,9,18,36,27,12,4,9,8,24,72,9,43,2,5,13,18,14,9,5,1,9
2016,140,3400,73,3281,55,H,0,30,73,8,19,5,11,21,26,20,13,12,3,19,16,51,8,28,15,17,9,24,10,18,7,3,17
2016,147,3163,86,3400,65,N,0,31,55,12,21,12,14,6,23,24,13,4,5,8,26,64,8,25,5,8,16,18,13,14,10,2,19
2016,140,3417,72,3378,67,H,0,27,69,5,13,13,21,21,30,15,14,10,3,19,23,67,6,18,15,17,16,26,7,14,6,1,18
2016,147,3333,60,3124,57,N,0,19,47,7,18,15,18,12,27,13,19,3,6,15,25,65,1,5,6,14,17,16,10,8,11,5,17
2016,145,3400,72,3417,64,N,0,27,66,3,10,15,20,14,32,10,17,8,2,23,19,63,2,14,24,32,16,24,9,14,9,5,21
2016,138,3182,97,3371,76,N,0,34,70,9,21,20,23,14,29,19,15,10,3,12,29,72,11,32,7,8,14,23,13,19,10,6,19
2016,144,3449,85,3246,72,N,0,33,67,11,28,8,16,5,37,16,7,4,4,13,32,80,5,21,3,9,13,31,13,7,3,1,18
2016,146,3393,89,3397,67,N,0,32,69,14,30,11,17,15,19,13,7,13,3,19,24,61,6,22,13,19,22,24,15,21,4,3,17
2016,137,3177,97,3241,67,N,0,37,69,11,21,12,20,15,40,24,12,5,2,19,22,72,4,17,19,28,16,23,7,7,5,6,19
2016,137,3333,73,3407,31,H,0,29,69,5,23,10,16,14,51,24,18,11,8,5,12,74,3,22,4,9,12,30,6,14,7,5,18
2017,140,3346,85,3274,78,A,0,28,60,15,26,14,20,9,25,24,13,6,5,23,27,64,5,11,19,27,13,26,14,11,8,5,20
2017,137,3281,66,3378,64,N,0,24,55,8,24,10,12,13,23,10,14,3,5,21,20,53,8,17,16,22,14,19,11,11,5,2,17
2017,144,3280,75,3449,64,N,0,31,75,3,16,10,12,21,28,17,7,4,9,17,24,62,8,22,8,11,10,24,8,10,3,2,14
2017,139,3323,88,3345,82,H,1,34,72,6,12,14,17,15,26,21,11,9,3,18,30,68,5,15,17,21,13,26,20,11,5,5,16
2017,138,3243,67,3179,54,H,0,26,55,8,21,7,10,14,27,21,19,11,5,11,19,52,7,24,9,14,9,17,14,17,13,1,13
2017,137,3166,76,3405,49,N,0,26,55,10,23,14,19,9,33,15,11,7,6,19,20,62,2,10,7,13,12,21,10,10,6,2,20
2017,145,3163,86,3417,71,H,0,30,54,9,20,17,26,12,28,20,14,2,3,13,26,68,9,27,10,14,14,18,14,6,8,2,24
2017,137,3345,74,3453,62,N,0,21,41,6,12,26,30,10,29,14,23,8,5,16,23,70,10,36,6,7,18,9,14,12,11,5,25
2017,137,3268,103,3137,61,H,0,42,72,4,11,15,22,17,23,22,5,13,5,15,20,54,5,22,16,19,12,18,10,20,3,1,18
2017,137,3326,70,3443,63,N,0,27,63,8,20,8,15,10,33,21,19,4,9,21,22,76,9,37,10,15,18,26,9,11,7,7,19
2017,137,3323,79,3352,49,H,0,32,61,4,12,11,13,15,37,17,16,6,7,15,17,64,7,24,8,8,8,15,7,9,8,1,14
2017,138,3143,55,3261,52,N,0,20,45,7,18,8,9,9,26,15,20,3,6,13,21,63,2,8,8,14,19,16,11,9,7,3,12
2017,151,3280,66,3163,64,N,1,25,67,6,22,10,13,14,23,11,14,8,1,23,20,46,7,15,17,25,6,25,11,17,4,8,15
2017,140,3390,69,3243,48,A,0,26,57,8,19,9,12,12,27,23,14,8,3,17,19,49,4,15,6,11,5,20,12,15,3,1,10
2017,138,3328,75,3211,62,N,0,23,53,10,23,19,21,7,28,10,17,5,11,18,24,71,3,18,11,15,19,25,13,13,7,3,19
2017,151,3376,62,3390,53,N,0,23,63,3,13,13,21,20,23,10,14,6,5,11,23,62,4,14,3,5,16,25,13,16,8,5,16
2017,137,3199,87,3442,66,H,0,35,69,2,9,15,22,19,35,14,19,11,7,16,23,61,11,24,9,15,6,17,12,16,10,1,17
2017,137,3280,110,3407,69,H,0,36,82,12,22,26,39,27,34,22,21,11,7,21,25,80,5,31,14,20,23,25,16,28,5,2,29
2017,144,3323,99,3326,76,N,0,34,65,12,24,19,20,10,32,23,11,4,1,14,30,71,9,24,7,10,10,20,23,12,4,2,17
2018,140,3417,86,3166,64,H,0,30,62,8,19,18,23,15,22,15,10,12,4,19,21,51,11,27,11,12,7,20,18,18,1,1,21
2018,138,3280,95,3311,50,H,0,31,62,9,19,24,30,14,37,18,16,5,4,12,18,65,6,25,8,10,9,20,8,14,6,2,26
2018,137,3276,75,3294,61,N,0,28,49,2,4,17,23,8,25,11,19,6,2,16,21,50,6,19,13,15,4,14,13,17,8,3,20
2018,144,3333,72,3124,67,N,0,24,53,9,20,15,19,8,30,19,14,4,3,15,28,71,3,17,8,11,15,22,20,9,7,7,15
2018,145,3163,72,3181,59,N,0,28,62,8,21,8,16,15,26,18,12,8,7,11,23,60,5,16,8,10,10,22,12,10,11,2,13
2018,139,3333,66,3397,59,A,0,21,46,5,19,19,23,6,31,13,13,5,4,12,24,71,5,22,6,10,17,22,13,8,8,1,19
2018,140,3138,86,3199,65,A,0,27,57,5,21,27,30,14,22,10,16,10,3,18,23,68,3,25,16,22,22,15,11,17,7,1,24
2018,137,3437,81,3355,74,N,1,25,61,16,38,15,25,11,30,18,9,2,3,19,27,57,3,16,17,22,4,30,13,9,6,5,21
2018,140,3400,85,3113,65,H,0,37,60,3,10,8,10,10,30,14,17,1,1,21,23,59,4,14,15,20,5,14,13,9,6,0,15
2018,140,3390,90,3195,70,H,0,31,61,9,17,19,26,16,36,17,18,7,7,14,24,65,17,47,5,6,4,14,18,10,6,1,22
2018,138,3208,68,3273,63,H,0,24,53,1,3,19,23,12,33,18,17,4,2,20,21,66,4,13,17,22,15,19,11,9,9,3,19
2018,137,3333,82,3443,58,N,0,26,57,10,23,20,24,14,34,19,12,2,3,15,20,61,8,22,10,16,8,19,9,6,7,3,18
2018,139,3257,90,3266,72,H,0,40,63,4,13,6,7,10,32,27,15,3,6,15,28,68,6,22,10,17,12,14,15,7,7,1,14
2018,138,3166,76,3234,70,N,0,25,58,9,24,17,25,10,18,16,7,4,5,15,26,56,3,12,15,17,12,27,17,14,2,3,20
2018,151,3323,91,3163,89,N,1,33,70,6,19,19,23,15,23,14,15,7,3,11,38,77,9,24,4,6,16,25,20,17,5,6,18
2018,138,3181,72,3125,58,N,0,23,55,4,14,22,28,14,22,13,8,9,4,15,21,54,11,28,5,10,13,21,13,17,2,4,22
2018,147,3163,94,3376,65,N,0,37,63,12,20,8,8,8,21,25,7,7,3,12,28,56,1,7,8,13,9,18,10,13,5,1,12
2018,137,3278,89,3453,77,N,0,27,59,10,18,25,29,9,24,11,9,8,1,14,28,71,9,29,12,16,18,21,21,12,4,4,24
2018,137,3323,99,3169,81,H,0,40,73,9,17,10,14,15,21,28,8,12,1,7,35,66,9,20,2,3,11,20,23,16,6,7,15
2019,137,3113,60,3416,45,N,0,22,51,6,13,10,12,12,30,12,18,3,3,13,18,56,2,10,7,10,10,17,6,11,9,0,17
2019,138,3323,92,3126,50,H,0,36,66,5,10,15,18,15,34,24,11,11,7,9,16,60,9,34,9,11,11,17,11,5,5,2,16
2019,137,3257,69,3352,34,H,0,26,54,6,15,11,16,15,32,15,17,7,6,14,12,52,4,16,6,10,11,17,5,15,7,3,18
2019,137,3138,82,3353,71,N,0,27,54,12,23,16,19,12,27,18,23,7,3,18,29,68,4,21,9,15,16,17,17,15,9,2,20
2019,137,3231,69,3400,65,N,0,28,63,7,22,6,6,5,20,11,13,10,1,17,26,63,5,17,8,14,19,27,11,23,3,2,15
2019,144,3280,76,3113,53,N,0,24,54,3,11,25,35,17,25,11,7,6,3,17,20,55,6,21,7,12,14,17,15,16,4,5,26
2019,137,3276,84,3243,54,N,0,35,63,5,13,9,14,17,33,22,21,9,2,17,20,55,7,22,7,17,6,13,11,17,15,4,11
2019,140,3301,72,3246,57,H,0,23,50,10,21,16,24,17,33,16,16,2,2,9,22,69,9,29,4,6,15,16,10,5,9,2,19
2019,140,3390,72,3140,63,H,0,26,63,12,35,8,19,13,30,15,8,3,3,11,25,65,8,18,5,8,11,29,9,6,6,1,18
2019,139,3401,78,3266,76,H,0,32,72,8,14,6,12,17,25,17,8,3,3,12,29,60,10,22,8,10,7,27,22,10,6,2,17
2019,146,3163,80,3257,73,H,0,25,58,14,26,16,20,11,31,14,13,4,5,13,29,69,4,22,11,17,12,24,16,5,9,2,16
2019,140,3283,69,3235,60,A,0,25,61,7,18,12,14,10,27,14,10,5,2,16,21,59,2,17,16,19,14,24,12,13,3,3,11
2019,138,3355,76,3346,65,N,0,24,60,8,19,20,24,16,33,14,14,3,2,17,23,65,4,16,15,21,12,22,11,7,8,3,20
2019,137,3274,69,3195,62,H,0,22,50,6,15,19,24,7,37,17,18,6,5,15,21,66,12,40,8,10,8,24,13,9,6,5,17
2019,145,3323,87,3401,80,H,0,36,69,2,10,13,15,15,30,20,9,4,4,12,32,69,8,17,8,10,9,19,10,7,5,4,17
2019,139,3332,91,3231,68,H,0,34,66,13,29,10,14,10,31,22,11,5,5,15,29,63,4,17,6,12,5,22,9,12,4,2,14
2019,138,3393,70,3200,49,H,0,26,60,9,14,9,12,7,30,15,9,12,4,15,16,56,10,34,7,11,11,28,13,15,4,2,14
2019,145,3124,93,3376,68,N,0,37,71,1,4,18,24,19,35,20,14,8,9,20,21,63,4,19,22,27,10,20,9,11,6,7,18
2019,137,3163,110,3406,61,H,0,41,70,15,29,13,17,12,30,25,10,6,7,12,23,73,8,29,7,11,21,20,13,17,8,5,20
2021,139,3439,70,3266,63,N,0,26,60,4,17,14,17,9,22,17,12,6,3,13,26,54,4,12,7,11,4,24,17,14,5,0,17
2021,146,3376,76,3210,65,N,0,31,55,8,14,6,6,7,22,16,11,5,3,8,27,59,6,12,5,7,9,16,12,12,7,0,10
